fecha;codigo;facultad;area;materia;seccion;horario;dias;evaluacion;tipo;inscritos;examinados;modalidad
2023-02-16;INF1I-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INFORMÁTICA;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;23;22;EN LINEA
2023-02-16;FEPS-I;Fac_InCa;INFORMATICA;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;62;60;EN LINEA
2023-02-16;DPCM3-D;Fac_Der;DERECHO;DERECHO PROCESAL CIVIL Y MERCANTIL III;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;49;46;EN LINEA
2023-02-16;FILJ-D;Fac_Der;DERECHO;FILOSOFÍA JURÍDICA;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;92;78;EN LINEA
2023-02-16;GRIP2-I;Fac_CiSo;IDIOMAS;GRAMÁTICA INGLESA PRAGMÁTICA II;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;66;66;EN LINEA
2023-02-16;DIBP-H;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO PUBLICITARIO;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;96;96;EN LINEA
2023-02-16;MYTI-V;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;METODOLOGÍA Y TÉCNICAS DE INVESTIGACIÓN;1;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;64;40;VIRTUAL
2023-02-16;PSICO-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA COMUNITARIA;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;69;68;EN LINEA
2023-02-16;FILO-H;Fac_CiSo;ANTROPOLOGIA;FILOSOFÍA;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;19;15;PRESENCIAL
2023-02-16;DIBA-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;DIBUJO APLICADO;2;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;26;23;EN LINEA
2023-02-16;CRPU-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;CREATIVIDAD PUBLICITARIA;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;36;28;EN LINEA
2023-02-16;BAS2-I;Fac_InCa;INFORMATICA;BASE DE DATOS II;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;89;86;PRESENCIAL
2023-02-16;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;8;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;92;86;PRESENCIAL
2023-02-16;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;18;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;43;41;PRESENCIAL
2023-02-16;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;6;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;82;74;PRESENCIAL
2023-02-16;MAT1-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;9;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;89;84;PRESENCIAL
2023-02-16;PSD1-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA DEL DESARROLLO I;1;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;47;46;PRESENCIAL
2023-02-16;DINA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO NATURAL;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;50;46;PRESENCIAL
2023-02-16;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;9;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;87;81;PRESENCIAL
