fecha;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad;inasistencia
ENERO 2023;GRIP2-I;Fac_CiSo;IDIOMAS;GRAMÁTICA INGLESA PRAGMÁTICA II;1;mañana;Ma-Jue;66;53;EN LINEA;13
ENERO 2023;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;4;mañana;Ma-Jue;55;45;EN LINEA;10
ENERO 2023;PSIG-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA GENERAL;1;mañana;Ma-Jue;80;59;PRESENCIAL;21
ENERO 2023;TTI-H;Fac_CiSo;IDIOMAS;TÉCNICAS DE TRADUCCIONES E INTERPRETACIÓN;1;mañana;Ma-Jue;66;54;EN LINEA;12
ENERO 2023;ETI1I-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO VI (ADMINISTRACIÓN DE INVENTARIO);1;mañana;Ma-Jue-Sab;8;3;EN LINEA;5
ENERO 2023;DEIN-H;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;2;mañana;Ma-Jue;39;30;EN LINEA;9
ENERO 2023;PRAC2-E;Fac_CiEmp;NEGOCIOS;PRÁCTICA GERENCIAL II;1;mañana;Ma-Jue;51;47;EN LINEA;4
ENERO 2023;ESTP-E;Fac_CiEmp;NEGOCIOS;ESTRATEGIA DEL PRODUCTO;1;mañana;Ma-Jue;42;34;EN LINEA;8
ENERO 2023;CDLA-E;Fac_Der;DERECHO;ESTUDIO DE LA CONSTITUCIÓN;2;mañana;Ma-Jue;96;90;EN LINEA;6
ENERO 2023;DIMA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO DE MARKETING;1;mañana;Ma-Jue;45;40;EN LINEA;5
ENERO 2023;DIBP-H;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO PUBLICITARIO;1;mañana;Ma-Jue;96;81;EN LINEA;15
ENERO 2023;PSFO-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA FORENSE;1;mañana;Ma-Jue;95;80;EN LINEA;15
ENERO 2023;GCYA-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO VII (GESTIÓN DE COMPRAS Y ABASTECIMIENTO);1;mañana;Ma-Jue-Sab;13;11;EN LINEA;2
ENERO 2023;SICA-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SISTEMA DE CONTROL ADMINISTRATIVO;1;mañana;Ma-Jue;62;48;EN LINEA;14
