IADOS;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad
1/2/2023;INI6-I;Fac_CiSo;IDIOMAS;INGLÉS PARA NEGOCIOS VI;1;18:05-19:35;Lu-Mie-Vie;28;24;EN LINEA
1/2/2023;GETU-T   ;Fac_CiEmp;NEGOCIOS;GEOG. TURÍSTICA SALVADOREÑA;1;18:40-20:10;Lu-Mie;50;44;EN LINEA
1/2/2023;ALG1-E   ;Fac_InCa;INFORMATICA;ALGORITMOS I;4;18:40-20:10;Lu-Mie;130;120;EN LINEA
1/2/2023;DEIN-H   ;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;10;18:40-20:10;Lu-Mie;51;45;EN LINEA
1/2/2023;EPRO-AC  ;Fac_CiSo;ANTROPOLOGIA;ÉTICA;8;18:40-20:10;Lu-Mie;128;117;EN LINEA
1/2/2023;PLAB-D   ;Fac_Der;DERECHO;PROCEDIMIENTOS LABORALES;1;18:40-20:10;Lu-Mie;118;90;EN LINEA
1/2/2023;LITNI-H  ;Fac_CiSo;IDIOMAS;LITERATURA NORTEAMERICANA E INGLESA;1;18:40-20:10;Lu-Mie;79;57;EN LINEA
1/2/2023;REME-H   ;Fac_CiSo;COMUNICACIONES;REDACCIÓN PARA MEDIOS DE COMUNICACIÓN;2;18:40-20:10;Lu-Mie;74;62;EN LINEA
1/2/2023;ADPI-I   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ADMINISTRACIÓN DE PROYECTOS;1;18:40-20:10;Lu-Mie;78;67;EN LINEA
1/2/2023;STCD-H;Fac_Der;DERECHO;SEMINARIO TALLER DE COMPETENCIAS;2;18:40-20:10;Lu-Mie;82;62;EN LINEA
1/2/2023;FOPU-H   ;Fac_CiSo;COMUNICACIONES;FOTOGRAFÍA PUBLICITARIA;2;17:00-18:30;Lu-Mie;39;30;EN LINEA
1/2/2023;TED1-AC  ;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TECNOLOGÍA DIGITAL I;3;18:40-20:10;Lu-Mie;62;55;EN LINEA
1/2/2023;CRPU-AC  ;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;CREATIVIDAD PUBLICITARIA;2;18:40-20:10;Lu-Mie;38;33;EN LINEA
1/2/2023;GRAS-H   ;Fac_CiSo;IDIOMAS;GRAMÁTICA SUPERIOR;2;18:40-20:10;Lu-Mie;65;53;EN LINEA
